NumVert,NumEdges,Dijkstra,Bellman-Ford
10,10,7e+06,3e+06
60,60,2.9e+07,7e+06
110,110,5e+07,1e+07
160,160,6.9e+07,1.5e+07
210,210,9.3e+07,1.7e+07
260,260,1.12e+08,2.1e+07
310,310,1.19e+08,2.1e+07
360,360,1.46e+08,2.7e+07
410,410,1.59e+08,2.7e+07
460,460,2.13e+08,4e+07
10,20,9e+06,3e+06
60,120,5.5e+07,1.9e+07
110,220,9.2e+07,2.8e+07
160,320,1.68e+08,4.1e+07
210,420,2.89e+08,6.5e+07
260,520,3.18e+08,5.6e+07
310,620,5.96e+08,1.2e+08
360,720,7.54e+08,1.39e+08
410,820,9.74e+08,1.42e+08
460,920,1.431e+09,2.19e+08
10,80,1.2e+07,9e+06
60,480,7.2e+07,5.4e+07
110,880,1.62e+08,1.17e+08
160,1280,2.6e+08,1.57e+08
210,1680,3.98e+08,2.51e+08
260,2080,5.49e+08,2.86e+08
310,2480,7.06e+08,3.45e+08
360,2880,9.59e+08,3.92e+08
410,3280,1.256e+09,5.51e+08
460,3680,1.646e+09,5.85e+08
10,25,1e+07,4e+06
60,900,7.5e+07,9.8e+07
110,3025,1.92e+08,3.47e+08
160,6400,3.55e+08,8.49e+08
210,11025,5.77e+08,1.443e+09
260,16900,8.9e+08,2.047e+09
310,24025,1.258e+09,2.993e+09
360,32400,1.64e+09,4.888e+09
410,42025,2.118e+09,7.159e+09
460,52900,3.006e+09,8.903e+09
