NumVert,NumEdges,Johnson,Floyd-Warshall
10,10,7.1e+07,2.4e+07
60,60,9.63e+08,2.506e+09
110,110,2.689e+09,1.9454e+10
160,160,5.46e+09,5.0358e+10
210,210,8.182e+09,1.08299e+11
260,260,1.1293e+10,1.77863e+11
310,310,1.6035e+10,3.02164e+11
360,360,2.2232e+10,4.6077e+11
410,410,2.5157e+10,6.51938e+11
460,460,3.317e+10,9.42665e+11
10,20,6.3e+07,2.4e+07
60,120,2.208e+09,3.959e+09
110,220,8.753e+09,2.202e+10
160,320,2.4318e+10,6.9215e+10
210,420,5.0094e+10,1.47268e+11
260,520,9.423e+10,2.82541e+11
310,620,1.43148e+11,4.79675e+11
360,720,2.38895e+11,7.80119e+11
410,820,3.6693e+11,1.23770e+12
460,920,4.3714e+11,1.43163e+12
10,80,7.5e+07,3.3e+07
60,480,2.651e+09,5.639e+09
110,880,1.1981e+10,3.1892e+10
160,1280,3.0881e+10,9.7025e+10
210,1680,6.666e+10,2.18769e+11
260,2080,1.41835e+11,4.73196e+11
310,2480,2.35026e+11,8.01192e+11
360,2880,3.1811e+11,1.15017e+12
410,3280,4.79619e+11,1.71462e+12
460,3680,6.63425e+11,2.38923e+12
10,25,6.2e+07,2.6e+07
60,900,3.16e+09,5.764e+09
110,3025,1.5375e+10,3.592e+10
160,6400,4.4089e+10,1.09764e+11
210,11025,9.6038e+10,2.48532e+11
260,16900,1.7886e+11,4.80274e+11
310,24025,2.99336e+11,8.18886e+11
360,32400,4.71384e+11,1.27895e+12
410,42025,6.90049e+11,1.91395e+12
460,52900,9.76773e+11,2.69468e+12
