NumVert,NumEdges,Johnson,Floyd-Warshall,Seidel
10,10,1.41e+08,5.6e+07,4.46e+08
60,60,2.842e+09,4.063e+09,2.8845e+10
110,110,9.226e+09,1.8134e+10,1.51136e+11
160,160,2.6486e+10,5.6111e+10,4.36468e+11
210,210,5.8359e+10,1.27761e+11,1.13849e+12
260,260,1.05329e+11,2.2836e+11,2.21446e+12
310,310,1.76839e+11,3.87325e+11,3.66362e+12
360,360,2.76935e+11,6.32673e+11,5.74219e+12
410,410,4.08659e+11,9.84826e+11,8.52565e+12
460,460,5.80285e+11,1.38668e+12,1.20086e+13
10,20,7.6e+07,3.6e+07,1.39e+08
60,120,2.186e+09,4.655e+09,1.5631e+10
110,220,9.739e+09,2.6795e+10,8.747e+10
160,320,2.7473e+10,8.3227e+10,2.52311e+11
210,420,6.1961e+10,1.97002e+11,6.3663e+11
260,520,1.0377e+11,3.50038e+11,1.41696e+12
310,620,1.75235e+11,6.08486e+11,2.39048e+12
360,720,2.7163e+11,9.58493e+11,3.31261e+12
410,820,4.71094e+11,1.65935e+12,6.74925e+12
460,920,7.05949e+11,2.49931e+12,8.8474e+12
10,80,7.7e+07,3.3e+07,3.9e+07
60,480,2.717e+09,5.722e+09,9.273e+09
110,880,1.2349e+10,3.4155e+10,5.1725e+10
160,1280,2.9466e+10,9.8737e+10,1.41447e+11
210,1680,6.0905e+10,2.25355e+11,3.18073e+11
260,2080,1.07944e+11,4.35187e+11,5.98892e+11
310,2480,1.72162e+11,7.37824e+11,9.91936e+11
360,2880,2.67338e+11,1.20081e+12,1.58289e+12
410,3280,4.01633e+11,1.85288e+12,2.36708e+12
460,3680,5.68867e+11,2.59395e+12,3.35957e+12
10,25,7.2e+07,3.2e+07,6.9e+07
60,900,3.536e+09,5.833e+09,3.065e+09
110,3025,1.8667e+10,3.5798e+10,1.6801e+10
160,6400,5.5028e+10,1.09424e+11,4.9751e+10
210,11025,1.21517e+11,2.48615e+11,1.09982e+11
260,16900,2.29587e+11,4.95574e+11,2.07054e+11
310,24025,3.791e+11,8.28989e+11,3.42793e+11
360,32400,6.0086e+11,1.30908e+12,5.33933e+11
410,42025,8.87886e+11,1.95268e+12,7.77765e+11
460,52900,1.23932e+12,2.741e+12,1.08916e+12
